utt,ch1,ch2,ch3,ch4,ch5,ch6
F05_447C020P_CAF,0.959,0.842,0.964,0.993,0.993,0.990
F05_447C020R_CAF,0.957,0.666,0.957,0.986,0.986,0.971
F05_447C020V_CAF,0.956,0.756,0.956,0.992,0.992,0.991
F05_447C0211_CAF,0.914,0.829,0.902,0.972,0.972,0.968
F05_447C0212_CAF,0.953,0.769,0.953,0.990,0.990,0.989
F05_447C0215_CAF,0.945,0.759,0.943,0.990,0.990,0.988
F05_440C0201_PED,0.974,0.859,0.974,0.994,0.994,0.981
F05_440C0205_PED,0.972,0.780,0.972,0.992,0.992,0.984
F05_440C020N_PED,0.970,0.495,0.970,0.990,0.990,0.978
F05_440C020U_PED,0.976,0.763,0.976,0.995,0.995,0.984
F05_440C020V_PED,0.955,0.814,0.955,0.992,0.992,0.983
F05_441C0209_PED,0.981,0.925,0.981,0.995,0.995,0.981
F05_441C020A_PED,0.988,0.921,0.988,0.997,0.997,0.990
F05_441C020F_PED,0.977,0.767,0.977,0.990,0.990,0.979
F05_441C020S_PED,0.984,0.845,0.984,0.997,0.997,0.990
F05_441C020V_PED,0.947,0.590,0.947,0.994,0.994,0.985
F05_442C0203_PED,0.984,0.872,0.984,0.997,0.997,0.993
F05_442C020C_PED,0.968,0.782,0.968,0.992,0.992,0.977
F05_442C020F_PED,0.961,0.908,0.961,0.991,0.991,0.981
F05_442C020G_PED,0.971,0.825,0.971,0.976,0.983,0.983
F05_442C020K_PED,0.964,0.807,0.965,0.992,0.992,0.984
F05_442C020T_PED,0.960,0.452,0.960,0.962,0.962,0.931
F05_442C020U_PED,0.778,0.740,0.699,0.930,0.930,0.845
F05_442C020Z_PED,0.976,0.829,0.976,0.995,0.995,0.991
F05_442C0210_PED,0.941,0.515,0.941,0.984,0.984,0.920
F05_443C0201_PED,0.955,0.702,0.955,0.987,0.987,0.962
F05_443C0208_PED,0.988,0.907,0.988,0.998,0.998,0.995
F05_443C020H_PED,0.882,0.659,0.882,0.992,0.992,0.970
F05_443C020J_PED,0.969,0.793,0.969,0.993,0.993,0.988
F05_443C020K_PED,0.982,0.888,0.982,0.995,0.995,0.952
F05_443C020L_PED,0.964,0.835,0.964,0.927,0.966,0.966
F05_443C020M_PED,0.980,0.867,0.980,0.997,0.997,0.991
F05_443C020P_PED,0.968,0.808,0.968,0.995,0.995,0.988
F05_443C020R_PED,0.887,0.894,0.961,0.949,0.949,0.961
F05_443C020U_PED,0.972,0.857,0.972,0.995,0.995,0.993
F05_443C020Z_PED,0.985,0.790,0.985,0.994,0.994,0.991
F05_443C0211_PED,0.964,0.939,0.964,0.983,0.983,0.938
F05_443C0212_PED,0.972,0.685,0.972,0.991,0.991,0.977
F05_443C0213_PED,0.973,0.704,0.973,0.981,0.981,0.972
F05_444C0203_PED,0.978,0.897,0.978,0.997,0.997,0.993
F05_444C020I_PED,0.990,0.902,0.990,0.994,0.994,0.991
F05_444C020O_PED,0.955,0.880,0.955,0.996,0.996,0.992
F05_444C020T_PED,0.959,0.733,0.959,0.987,0.987,0.967
F05_444C020V_PED,0.872,0.762,0.732,0.972,0.972,0.963
F05_444C020Y_PED,0.957,0.616,0.957,0.991,0.991,0.967
F05_444C020Z_PED,0.974,0.700,0.974,0.994,0.994,0.976
F05_444C0213_PED,0.925,0.700,0.925,0.991,0.991,0.986
F05_445C0207_PED,0.974,0.741,0.974,0.996,0.996,0.972
F05_445C020D_PED,0.912,0.554,0.911,0.982,0.982,0.956
F05_445C020E_PED,0.888,0.832,0.888,0.911,0.911,0.864
F05_445C020F_PED,0.974,0.872,0.974,0.996,0.996,0.995
F05_445C020H_PED,0.984,0.861,0.984,0.990,0.990,0.988
F05_445C020K_PED,0.978,0.578,0.978,0.990,0.990,0.980
F05_445C020L_PED,0.938,0.853,0.938,0.995,0.995,0.981
F05_445C020P_PED,0.986,0.479,0.986,0.994,0.995,0.995
F05_445C020Z_PED,0.904,0.772,0.904,0.878,0.902,0.902
F05_445C0210_PED,0.976,0.897,0.976,0.997,0.997,0.985
F05_445C0211_PED,0.922,0.813,0.652,0.982,0.982,0.970
F05_446C0202_PED,0.972,0.825,0.972,0.993,0.993,0.989
F05_446C0203_PED,0.991,0.945,0.991,0.997,0.997,0.997
F05_446C0205_PED,0.983,0.917,0.983,0.990,0.991,0.991
F05_446C0206_PED,0.942,0.807,0.942,0.952,0.952,0.947
F05_446C0207_PED,0.965,0.819,0.965,0.994,0.994,0.985
F05_446C020A_PED,0.933,0.566,0.933,0.993,0.993,0.976
F05_446C020B_PED,0.976,0.599,0.976,0.993,0.993,0.985
F05_446C020C_PED,0.818,0.748,0.792,0.851,0.726,0.851
F05_446C020P_PED,0.954,0.762,0.954,0.993,0.993,0.983
F05_446C020Q_PED,0.979,0.872,0.979,0.996,0.996,0.984
F05_446C020T_PED,0.872,0.898,0.825,0.917,0.844,0.917
F05_446C020U_PED,0.981,0.866,0.981,0.997,0.997,0.987
F05_446C020V_PED,0.988,0.790,0.988,0.993,0.993,0.989
F05_446C020W_PED,0.981,0.935,0.981,0.999,0.999,0.992
F05_446C020X_PED,0.989,0.726,0.989,0.995,0.995,0.991
F05_446C020Y_PED,0.932,0.882,0.828,0.971,0.971,0.878
F05_446C0211_PED,0.967,0.829,0.969,0.993,0.993,0.987
F05_446C0213_PED,0.929,0.511,0.929,0.893,0.864,0.911
F05_447C0204_PED,0.944,0.873,0.944,0.991,0.991,0.990
F05_447C0207_PED,0.986,0.882,0.986,0.995,0.995,0.992
F05_447C020C_PED,0.944,0.628,0.934,0.988,0.988,0.955
F05_447C020L_PED,0.965,0.904,0.965,0.970,0.970,0.730
F05_447C020O_PED,0.990,0.770,0.990,0.994,0.994,0.993
F05_447C020U_PED,0.973,0.435,0.973,0.933,0.955,0.955
F05_447C020W_PED,0.975,0.881,0.975,0.995,0.995,0.990
F05_447C020X_PED,0.980,0.884,0.980,0.992,0.992,0.988
F05_447C0211_PED,0.989,0.918,0.989,0.997,0.997,0.994
F05_447C0212_PED,0.961,0.874,0.961,0.996,0.996,0.989
F05_447C0213_PED,0.956,0.936,0.956,0.978,0.978,0.966
F05_447C0216_PED,0.945,0.594,0.945,0.987,0.987,0.971
F05_440C0206_STR,0.977,0.929,0.977,0.993,0.995,0.995
F05_440C0208_STR,0.897,0.835,0.940,0.990,0.991,0.991
F05_440C020A_STR,0.979,0.884,0.979,0.994,0.994,0.994
F05_440C020B_STR,0.919,0.729,0.940,0.979,0.979,0.977
F05_440C020Q_STR,0.922,0.531,0.950,0.990,0.991,0.991
F05_440C020R_STR,0.952,0.900,0.952,0.243,0.990,0.990
F05_440C020Z_STR,0.980,0.916,0.977,0.995,0.995,0.995
F05_441C0203_STR,0.923,0.781,0.934,0.986,0.986,0.985
F05_441C0204_STR,0.982,0.874,0.982,0.995,0.995,0.995
F05_441C020G_STR,0.948,0.658,0.948,0.038,0.987,0.987
F05_441C020R_STR,0.966,0.897,0.966,0.987,0.990,0.990
F05_441C020U_STR,0.959,0.713,0.968,0.984,0.984,0.968
F05_441C020Z_STR,0.968,0.824,0.968,0.993,0.993,0.991
F05_442C0202_STR,0.938,0.800,0.938,0.974,0.985,0.985
F05_442C020E_STR,0.974,0.842,0.974,0.995,0.995,0.989
F05_442C020M_STR,0.954,0.932,0.954,0.979,0.988,0.988
F05_442C020Q_STR,0.978,0.926,0.978,0.996,0.996,0.994
F05_442C020S_STR,0.945,0.787,0.952,0.979,0.985,0.985
F05_442C020V_STR,0.896,0.937,0.937,0.975,0.980,0.980
F05_442C020X_STR,0.979,0.772,0.979,0.995,0.995,0.993
F05_442C020Y_STR,0.911,0.840,0.957,0.993,0.993,0.990
F05_442C020Z_STR,0.977,0.804,0.977,0.995,0.995,0.994
F05_442C0210_STR,0.959,0.895,0.959,0.980,0.989,0.989
F05_442C0212_STR,0.929,0.766,0.946,0.987,0.990,0.990
F05_442C0213_STR,0.968,0.813,0.968,0.987,0.991,0.991
F05_443C0204_STR,0.959,0.733,0.959,0.988,0.990,0.990
F05_443C020G_STR,0.981,0.795,0.981,0.996,0.996,0.996
F05_443C020T_STR,0.972,0.857,0.971,0.994,0.994,0.993
F05_444C020A_STR,0.946,0.875,0.946,0.994,0.994,0.994
F05_444C020E_STR,0.947,0.947,0.947,0.972,0.992,0.992
F05_444C020I_STR,0.979,0.802,0.979,0.997,0.997,0.990
F05_444C020J_STR,0.973,0.848,0.973,0.996,0.996,0.994
F05_444C020N_STR,0.969,0.430,0.959,0.990,0.990,0.987
F05_444C020Q_STR,0.933,0.749,0.930,0.978,0.981,0.981
F05_444C020X_STR,0.959,0.717,0.959,0.984,0.989,0.989
F05_444C020Z_STR,0.971,0.899,0.971,0.994,0.994,0.990
F05_444C0211_STR,0.979,0.830,0.979,0.994,0.994,0.994
F05_444C0213_STR,0.971,0.706,0.971,0.989,0.989,0.989
F05_444C0215_STR,0.970,0.888,0.970,0.991,0.991,0.991
F05_445C0201_STR,0.974,0.858,0.974,0.993,0.993,0.990
F05_445C0202_STR,0.947,0.686,0.945,0.992,0.992,0.988
F05_445C0203_STR,0.975,0.827,0.975,0.995,0.995,0.993
F05_445C020B_STR,0.910,0.777,0.900,0.987,0.987,0.985
F05_445C020C_STR,0.979,0.891,0.979,0.997,0.997,0.994
F05_445C020D_STR,0.950,0.673,0.950,0.984,0.987,0.987
F05_445C020N_STR,0.908,0.829,0.944,0.966,0.966,0.966
F05_445C020U_STR,0.971,0.901,0.981,0.996,0.996,0.991
F05_445C020V_STR,0.995,0.963,0.994,0.998,0.998,0.998
F05_445C020Z_STR,0.949,0.713,0.949,0.226,0.974,0.974
F05_445C0211_STR,0.987,0.937,0.988,0.996,0.996,0.996
F05_445C0212_STR,0.964,0.825,0.964,0.989,0.989,0.989
F05_445C0214_STR,0.990,0.962,0.990,0.997,0.997,0.997
F05_445C0215_STR,0.982,0.919,0.983,0.997,0.997,0.995
F05_446C0201_STR,0.967,0.769,0.967,0.991,0.991,0.991
F05_446C0204_STR,0.974,0.878,0.975,0.995,0.995,0.995
F05_446C0205_STR,0.882,0.776,0.916,0.973,0.974,0.974
F05_446C0208_STR,0.962,0.895,0.956,0.990,0.990,0.988
F05_446C0209_STR,0.920,0.712,0.920,0.980,0.980,0.976
F05_446C020A_STR,0.984,0.872,0.984,0.996,0.996,0.995
F05_446C020D_STR,0.962,0.861,0.962,0.000,0.992,0.992
F05_446C020J_STR,0.982,0.923,0.983,0.996,0.996,0.993
F05_446C020M_STR,0.978,0.759,0.978,0.994,0.994,0.993
F05_446C020O_STR,0.986,0.903,0.986,0.997,0.997,0.993
F05_446C020R_STR,0.977,0.892,0.977,0.995,0.996,0.996
F05_446C020X_STR,0.956,0.720,0.956,0.983,0.988,0.988
F05_446C020Z_STR,0.980,0.903,0.980,0.997,0.997,0.997
F05_446C0210_STR,0.917,0.919,0.919,0.978,0.978,0.970
F05_447C0202_STR,0.945,0.846,0.964,0.987,0.989,0.989
F05_447C0205_STR,0.865,0.858,0.865,0.971,0.971,0.968
F05_447C0208_STR,0.891,0.824,0.937,0.983,0.984,0.984
F05_447C020G_STR,0.850,0.745,0.850,0.963,0.969,0.969
F05_447C020I_STR,0.961,0.688,0.960,0.991,0.991,0.987
F05_447C020J_STR,0.957,0.850,0.957,0.209,0.985,0.985
F05_447C020K_STR,0.849,0.849,0.834,0.977,0.977,0.974
F05_447C020N_STR,0.909,0.917,0.917,0.981,0.981,0.978
F05_447C020P_STR,0.964,0.768,0.964,0.993,0.993,0.991
F05_447C020Q_STR,0.934,0.896,0.907,0.986,0.986,0.984
F05_447C020Z_STR,0.974,0.920,0.978,0.994,0.994,0.994
F05_447C0212_STR,0.957,0.815,0.957,0.990,0.992,0.992
F05_447C0213_STR,0.972,0.744,0.972,0.000,0.990,0.990
F05_447C0214_STR,0.972,0.940,0.972,0.997,0.997,0.997
F05_447C0217_STR,0.968,0.807,0.968,0.994,0.994,0.992
F04_050C0104_BTH,0.975,0.984,0.973,0.990,0.993,0.993
F04_050C0109_BTH,0.984,0.958,0.984,0.997,0.997,0.993
F04_050C010D_BTH,0.984,0.970,0.980,0.994,0.994,0.994
F04_050C010H_BTH,0.991,0.981,0.991,0.993,0.993,0.988
F04_050C010M_BTH,0.978,0.972,0.975,0.991,0.990,0.991
F04_050C010N_BTH,0.989,0.962,0.989,0.993,0.993,0.989
F04_050C010Y_BTH,0.981,0.954,0.981,0.994,0.997,0.997
F04_050C0111_BTH,0.976,0.980,0.983,0.995,0.995,0.993
F04_050C0114_BTH,0.978,0.978,0.984,0.994,0.994,0.994
F04_050C0115_BTH,0.986,0.975,0.989,0.997,0.997,0.997
F04_051C0106_BTH,0.993,0.969,0.993,0.996,0.996,0.994
F04_051C0108_BTH,0.976,0.948,0.976,0.996,0.996,0.995
F04_051C0109_BTH,0.987,0.973,0.990,0.997,0.997,0.996
F04_051C010E_BTH,0.992,0.985,0.988,0.996,0.997,0.997
F04_051C010G_BTH,0.992,0.968,0.992,0.998,0.998,0.998
F04_051C010L_BTH,0.969,0.985,0.982,0.996,0.996,0.989
F04_051C010O_BTH,0.984,0.962,0.984,0.995,0.996,0.996
F04_051C010V_BTH,0.982,0.956,0.982,0.993,0.997,0.997
F04_051C0110_BTH,0.989,0.941,0.989,0.994,0.994,0.990
F04_051C0112_BTH,0.984,0.980,0.974,0.992,0.994,0.994
F04_052C0103_BTH,0.986,0.967,0.986,0.992,0.989,0.992
F04_052C010E_BTH,0.963,0.988,0.983,0.992,0.990,0.992
F04_052C010L_BTH,0.970,0.896,0.970,0.992,0.996,0.996
F04_052C010P_BTH,0.985,0.955,0.985,0.994,0.995,0.995
F04_052C010Q_BTH,0.990,0.965,0.990,0.993,0.994,0.994
F04_052C010X_BTH,0.991,0.972,0.991,0.997,0.997,0.986
F04_052C010Y_BTH,0.980,0.963,0.981,0.997,0.997,0.997
F04_053C0104_BTH,0.987,0.963,0.987,0.981,0.979,0.987
F04_053C0109_BTH,0.992,0.974,0.992,0.989,0.990,0.990
F04_053C010A_BTH,0.992,0.964,0.990,0.998,0.998,0.992
F04_053C010F_BTH,0.988,0.974,0.984,0.985,0.987,0.988
F04_053C010K_BTH,0.975,0.982,0.982,0.993,0.993,0.985
F04_053C010N_BTH,0.984,0.986,0.984,0.998,0.998,0.997
F04_053C010P_BTH,0.989,0.943,0.989,0.999,0.999,0.999
F04_053C010S_BTH,0.989,0.937,0.989,0.993,0.983,0.993
F04_053C010U_BTH,0.984,0.949,0.984,0.989,0.988,0.989
F04_053C010V_BTH,0.979,0.987,0.982,0.996,0.996,0.995
F04_053C010W_BTH,0.979,0.975,0.979,0.992,0.990,0.992
F04_053C0111_BTH,0.979,0.986,0.988,0.998,0.998,0.994
F04_053C0113_BTH,0.991,0.960,0.991,0.996,0.997,0.997
F04_22GC0103_BTH,0.991,0.988,0.991,0.996,0.999,0.999
F04_22GC010D_BTH,0.991,0.985,0.991,0.997,0.997,0.996
F04_22GC010E_BTH,0.981,0.987,0.981,0.992,0.992,0.987
F04_22GC010I_BTH,0.991,0.992,0.992,0.998,0.998,0.998
F04_22GC010L_BTH,0.978,0.977,0.977,0.990,0.990,0.983
F04_22GC010W_BTH,0.982,0.960,0.983,0.996,0.998,0.998
F04_22GC010Z_BTH,0.982,0.951,0.982,0.996,0.996,0.996
F04_22HC0108_BTH,0.983,0.956,0.983,0.996,0.996,0.996
F04_22HC0109_BTH,0.982,0.959,0.982,0.995,0.995,0.987
F04_22HC010L_BTH,0.964,0.980,0.982,0.993,0.998,0.998
F04_22HC010N_BTH,0.978,0.980,0.978,0.992,0.995,0.995
F04_22HC010R_BTH,0.985,0.984,0.985,0.998,0.998,0.998
F04_22HC010T_BTH,0.989,0.969,0.986,0.989,0.989,0.984
F04_22HC010U_BTH,0.979,0.981,0.981,0.993,0.995,0.995
F04_22HC0110_BTH,0.973,0.977,0.983,0.994,0.996,0.996
F04_22HC0112_BTH,0.983,0.972,0.983,0.994,0.994,0.990
F04_22HC0114_BTH,0.995,0.987,0.989,0.998,0.998,0.997
F04_420C0206_BTH,0.985,0.990,0.989,0.995,0.996,0.996
F04_420C0209_BTH,0.985,0.950,0.985,0.995,0.998,0.998
F04_420C020B_BTH,0.974,0.980,0.983,0.995,0.995,0.991
F04_420C020C_BTH,0.989,0.950,0.982,0.994,0.994,0.989
F04_420C020E_BTH,0.982,0.978,0.982,0.996,0.998,0.998
F04_420C020I_BTH,0.970,0.974,0.985,0.996,0.990,0.996
F04_420C020L_BTH,0.979,0.931,0.979,0.994,0.997,0.997
F04_420C020P_BTH,0.977,0.969,0.977,0.996,0.998,0.998
F04_420C020W_BTH,0.977,0.971,0.981,0.991,0.992,0.992
F04_420C020Y_BTH,0.984,0.975,0.980,0.995,0.995,0.994
F04_420C020Z_BTH,0.991,0.977,0.981,0.993,0.996,0.996
F04_421C0207_BTH,0.991,0.967,0.991,0.992,0.995,0.995
F04_421C0208_BTH,0.992,0.977,0.992,0.998,0.999,0.999
F04_421C0209_BTH,0.979,0.952,0.979,0.992,0.997,0.997
F04_421C020H_BTH,0.993,0.975,0.993,0.996,0.996,0.994
F04_421C020Q_BTH,0.976,0.952,0.976,0.994,0.996,0.996
F04_421C0212_BTH,0.991,0.968,0.991,0.997,0.997,0.997
F04_421C0214_BTH,0.995,0.975,0.990,0.997,0.997,0.995
F04_422C0201_BTH,0.976,0.955,0.976,0.996,0.996,0.992
F04_422C0207_BTH,0.979,0.954,0.979,0.989,0.994,0.994
F04_422C020F_BTH,0.980,0.985,0.985,0.994,0.994,0.980
F04_422C020G_BTH,0.989,0.979,0.988,0.994,0.994,0.994
F04_422C020H_BTH,0.978,0.985,0.988,0.994,0.992,0.994
F04_422C020I_BTH,0.973,0.983,0.981,0.988,0.988,0.984
F04_422C020K_BTH,0.982,0.961,0.982,0.995,0.998,0.998
F04_422C020M_BTH,0.974,0.969,0.981,0.989,0.989,0.985
F04_422C020S_BTH,0.980,0.980,0.980,0.995,0.995,0.994
F04_422C020U_BTH,0.979,0.985,0.981,0.993,0.993,0.985
F04_422C020V_BTH,0.978,0.984,0.984,0.993,0.995,0.995
F04_422C020Y_BTH,0.969,0.987,0.983,0.992,0.993,0.993
F04_422C0211_BTH,0.992,0.953,0.992,0.984,0.978,0.985
F04_422C0216_BTH,0.981,0.973,0.980,0.990,0.988,0.990
F04_423C0203_BTH,0.984,0.984,0.973,0.994,0.996,0.996
F04_423C0207_BTH,0.985,0.977,0.972,0.992,0.992,0.988
F04_423C020A_BTH,0.983,0.952,0.983,0.992,0.994,0.994
F04_423C020C_BTH,0.976,0.975,0.984,0.996,0.998,0.998
F04_423C020E_BTH,0.989,0.981,0.983,0.992,0.992,0.991
F04_423C020N_BTH,0.972,0.970,0.982,0.992,0.994,0.994
F04_423C020P_BTH,0.989,0.954,0.989,0.992,0.992,0.992
F04_423C020T_BTH,0.986,0.974,0.978,0.993,0.990,0.993
F04_423C020V_BTH,0.992,0.970,0.992,0.997,0.995,0.997
F04_423C020W_BTH,0.972,0.982,0.976,0.989,0.994,0.994
F04_423C020Z_BTH,0.983,0.971,0.976,0.992,0.996,0.996
F04_423C0210_BTH,0.979,0.979,0.990,0.992,0.992,0.990
F04_423C0214_BTH,0.980,0.978,0.973,0.993,0.993,0.987
F04_423C0215_BTH,0.988,0.968,0.988,0.996,0.996,0.991
F04_050C0104_BUS,0.957,0.961,0.961,0.917,0.947,0.947
F04_050C0109_BUS,0.946,0.833,0.959,0.937,0.937,0.959
F04_050C010D_BUS,0.935,0.935,0.932,0.960,0.960,0.949
F04_050C010H_BUS,0.933,0.910,0.933,0.963,0.967,0.967
F04_050C010M_BUS,0.953,0.953,0.943,0.938,0.938,0.931
F04_050C010N_BUS,0.954,0.952,0.954,0.979,0.979,0.979
F04_050C010Y_BUS,0.960,0.884,0.949,0.936,0.960,0.903
F04_050C0111_BUS,0.988,0.988,0.986,0.868,0.833,0.950
F04_050C0114_BUS,0.921,0.918,0.921,0.940,0.940,0.918
F04_050C0115_BUS,0.960,0.960,0.946,0.948,0.948,0.943
F04_051C0106_BUS,0.971,0.978,0.978,0.937,0.866,0.969
F04_051C0108_BUS,0.880,0.852,0.880,0.896,0.885,0.896
F04_051C0109_BUS,0.952,0.960,0.960,0.934,0.951,0.922
F04_051C010E_BUS,0.955,0.931,0.946,0.919,0.955,0.874
F04_051C010G_BUS,0.896,0.744,0.896,0.946,0.946,0.856
F04_051C010L_BUS,0.979,0.986,0.986,0.091,0.919,0.961
F04_051C010O_BUS,0.955,0.878,0.956,0.953,0.953,0.956
F04_051C010V_BUS,0.974,0.928,0.974,0.953,0.986,0.986
F04_051C0110_BUS,0.946,0.969,0.969,0.970,0.970,0.966
F04_051C0112_BUS,0.951,0.957,0.957,0.915,0.920,0.937
F04_052C0103_BUS,0.962,0.917,0.927,0.954,0.962,0.949
F04_052C010E_BUS,0.955,0.886,0.955,0.984,0.984,0.700
F04_052C010L_BUS,0.953,0.891,0.953,0.952,0.982,0.982
F04_052C010P_BUS,0.943,0.890,0.927,0.943,0.956,0.956
F04_052C010Q_BUS,0.908,0.761,0.908,0.979,0.979,0.920
F04_052C010X_BUS,0.975,0.975,0.978,0.105,0.954,0.978
F04_052C010Y_BUS,0.913,0.913,0.913,0.921,0.895,0.921
F04_053C0104_BUS,0.937,0.951,0.957,0.969,0.975,0.975
F04_053C0109_BUS,0.914,0.910,0.914,0.962,0.962,0.960
F04_053C010A_BUS,0.922,0.896,0.922,0.951,0.951,0.935
F04_053C010F_BUS,0.855,0.932,0.932,0.947,0.947,0.944
F04_053C010K_BUS,0.966,0.966,0.962,0.950,0.966,0.966
F04_053C010N_BUS,0.970,0.970,0.967,0.925,0.825,0.901
F04_053C010P_BUS,0.936,0.936,0.926,0.907,0.893,0.907
F04_053C010S_BUS,0.952,0.909,0.952,0.940,0.896,0.916
F04_053C010U_BUS,0.961,0.957,0.961,0.831,0.979,0.979
F04_053C010V_BUS,0.967,0.967,0.964,0.898,0.944,0.944
F04_053C010W_BUS,0.913,0.918,0.918,0.937,0.937,0.929
F04_053C0111_BUS,0.948,0.963,0.963,0.012,0.968,0.968
F04_053C0113_BUS,0.949,0.812,0.960,0.962,0.984,0.984
F04_22GC0103_BUS,0.947,0.874,0.965,0.962,0.962,0.965
F04_22GC010D_BUS,0.977,0.966,0.954,0.976,0.977,0.960
F04_22GC010E_BUS,0.953,0.958,0.958,0.674,0.976,0.976
F04_22GC010I_BUS,0.934,0.925,0.925,0.886,0.934,0.890
F04_22GC010L_BUS,0.928,0.884,0.859,0.947,0.947,0.938
F04_22GC010W_BUS,0.901,0.931,0.931,0.895,0.900,0.900
F04_22GC010Z_BUS,0.929,0.866,0.928,0.922,0.929,0.794
F04_22HC0108_BUS,0.939,0.902,0.926,0.939,0.974,0.974
F04_22HC0109_BUS,0.932,0.876,0.932,0.967,0.967,0.941
F04_22HC010L_BUS,0.944,0.944,0.933,0.943,0.952,0.952
F04_22HC010N_BUS,0.940,0.834,0.940,0.956,0.956,0.883
F04_22HC010R_BUS,0.970,0.916,0.976,0.970,0.965,0.976
F04_22HC010T_BUS,0.906,0.861,0.906,0.968,0.968,0.948
F04_22HC010U_BUS,0.948,0.949,0.949,0.933,0.962,0.962
F04_22HC0110_BUS,0.944,0.922,0.908,0.944,0.897,0.809
F04_22HC0112_BUS,0.946,0.934,0.895,0.944,0.952,0.952
F04_22HC0114_BUS,0.931,0.879,0.931,0.958,0.967,0.967
F04_420C0206_BUS,0.976,0.976,0.959,0.940,0.767,0.930
F04_420C0209_BUS,0.965,0.866,0.928,0.938,0.965,0.961
F04_420C020B_BUS,0.915,0.921,0.921,0.684,0.955,0.955
F04_420C020C_BUS,0.979,0.981,0.981,0.943,0.736,0.962
F04_420C020E_BUS,0.918,0.893,0.918,0.895,0.877,0.848
F04_420C020I_BUS,0.975,0.977,0.977,0.953,0.953,0.959
F04_420C020L_BUS,0.949,0.880,0.972,0.943,0.973,0.973
F04_420C020P_BUS,0.966,0.943,0.965,0.969,0.969,0.924
F04_420C020W_BUS,0.923,0.843,0.896,0.923,0.929,0.929
F04_420C020Y_BUS,0.951,0.942,0.951,0.960,0.960,0.953
F04_420C020Z_BUS,0.952,0.960,0.960,0.970,0.980,0.980
F04_421C0207_BUS,0.918,0.909,0.909,0.918,0.971,0.971
F04_421C0208_BUS,0.966,0.907,0.966,0.958,0.968,0.968
F04_421C0209_BUS,0.928,0.690,0.928,0.914,0.914,0.894
F04_421C020H_BUS,0.958,0.935,0.958,0.000,0.890,0.931
F04_421C020Q_BUS,0.967,0.941,0.967,0.966,0.966,0.931
F04_421C0212_BUS,0.979,0.969,0.979,0.931,0.984,0.984
F04_421C0214_BUS,0.938,0.924,0.938,0.962,0.962,0.952
F04_422C0201_BUS,0.940,0.878,0.944,0.925,0.979,0.979
F04_422C0207_BUS,0.922,0.861,0.908,0.938,0.938,0.908
F04_422C020F_BUS,0.972,0.979,0.979,0.169,0.764,0.954
F04_422C020G_BUS,0.957,0.858,0.886,0.927,0.957,0.952
F04_422C020H_BUS,0.990,0.990,0.985,0.693,0.688,0.954
F04_422C020I_BUS,0.941,0.941,0.929,0.919,0.963,0.963
F04_422C020K_BUS,0.967,0.825,0.967,0.933,0.933,0.926
F04_422C020M_BUS,0.932,0.919,0.932,0.027,0.950,0.950
F04_422C020S_BUS,0.982,0.982,0.979,0.916,0.968,0.968
F04_422C020U_BUS,0.918,0.915,0.918,0.910,0.947,0.947
F04_422C020V_BUS,0.903,0.909,0.909,0.931,0.939,0.939
F04_422C020Y_BUS,0.905,0.905,0.869,0.912,0.953,0.953
F04_422C0211_BUS,0.950,0.946,0.950,0.955,0.971,0.971
F04_422C0216_BUS,0.949,0.947,0.949,0.949,0.929,0.909
F04_423C0203_BUS,0.964,0.964,0.934,0.952,0.926,0.922
F04_423C0207_BUS,0.977,0.977,0.974,0.914,0.962,0.957
F04_423C020A_BUS,0.962,0.938,0.962,0.963,0.963,0.897
F04_423C020C_BUS,0.919,0.928,0.928,0.862,0.862,0.862
F04_423C020E_BUS,0.949,0.918,0.949,0.950,0.971,0.971
F04_423C020N_BUS,0.987,0.987,0.980,0.963,0.979,0.979
F04_423C020P_BUS,0.945,0.923,0.945,0.917,0.909,0.909
F04_423C020T_BUS,0.948,0.903,0.916,0.934,0.957,0.957
F04_423C020V_BUS,0.953,0.899,0.953,0.922,0.928,0.888
F04_423C020W_BUS,0.939,0.950,0.950,0.897,0.582,0.902
F04_423C020Z_BUS,0.959,0.974,0.974,0.976,0.976,0.975
F04_423C0210_BUS,0.978,0.978,0.973,0.089,0.962,0.962
F04_423C0214_BUS,0.976,0.976,0.968,0.910,0.769,0.917
F04_423C0215_BUS,0.969,0.957,0.969,0.918,0.828,0.918
F04_050C0103_CAF,0.935,0.723,0.935,0.984,0.984,0.906
F04_050C0107_CAF,0.967,0.844,0.967,0.994,0.994,0.969
F04_050C0108_CAF,0.926,0.901,0.926,0.987,0.987,0.953
F04_050C010A_CAF,0.930,0.902,0.930,0.977,0.977,0.956
F04_050C010B_CAF,0.942,0.826,0.942,0.983,0.983,0.964
F04_050C010E_CAF,0.947,0.715,0.947,0.991,0.991,0.969
F04_050C010F_CAF,0.949,0.683,0.949,0.989,0.989,0.933
F04_050C010S_CAF,0.895,0.909,0.909,0.985,0.985,0.958
F04_050C010X_CAF,0.968,0.927,0.968,0.995,0.995,0.989
F04_050C010Z_CAF,0.951,0.730,0.951,0.991,0.991,0.970
F04_050C0110_CAF,0.952,0.787,0.952,0.988,0.988,0.973
F04_051C0102_CAF,0.956,0.944,0.956,0.987,0.987,0.980
F04_051C0107_CAF,0.947,0.965,0.965,0.989,0.989,0.981
F04_051C010B_CAF,0.947,0.757,0.947,0.987,0.987,0.944
